Date,LT,upper,lower
2017-12-07,1218.4,1234.422415789095,1198.3132984966203
2017-12-08,1220.35,1232.2267317942315,1199.158982491484
2017-12-11,1221.85,1232.0712493602152,1199.200179211214
2017-12-12,1202.9,1231.4278993705484,1197.0149577723096
2017-12-13,1189.25,1234.0247379496043,1190.603833478968
2017-12-14,1188.8,1234.8973835777417,1185.4883307079733
2017-12-15,1203.55,1232.1052726404064,1185.2518702167372
2017-12-18,1217.9,1233.0237527031811,1185.2191044396766
2017-12-19,1219.9,1233.4242898628702,1185.111424422845
2017-12-20,1232.5,1237.3829969362077,1183.4312887780793
2017-12-21,1258.8,1251.177360065374,1176.3726399346267
2017-12-22,1266.15,1264.012081943501,1170.4879180565
2017-12-26,1269.7,1275.72417778193,1167.318679360928
2017-12-27,1257.85,1280.726510067023,1171.8306327901205
2017-12-28,1252.75,1284.7246232196114,1172.7396624946748
2017-12-29,1258.25,1289.319017500525,1173.5595539280473
2018-01-01,1260.7,1293.8132845258376,1174.6152869027349
2018-01-02,1249.75,1294.8000925892056,1180.321335982224
2018-01-03,1275.3,1296.9397363595062,1190.4745493547803
2018-01-04,1315.7,1308.868798786564,1196.674058356294
2018-01-05,1314.9,1318.3152068330728,1203.1347931669284
2018-01-08,1338.25,1334.7681034506506,1203.8747536922076
2018-01-09,1332.75,1344.3877064280139,1210.3765792862725
2018-01-10,1323.75,1349.8428423829157,1217.957157617085
2018-01-11,1323.55,1355.9504773805843,1221.0995226194163
2018-01-12,1329.15,1362.3988672811183,1223.6511327188823
2018-01-15,1325.95,1367.1095929918129,1226.9761212939025
2018-01-16,1326.2,1369.7159541276596,1234.1340458723416
2018-01-17,1353.35,1375.7653024314616,1242.4561261399679
2018-01-18,1360.8,1381.5344609187105,1251.336967652719
2018-01-19,1371.45,1387.1452338550905,1261.5476232877675
2018-01-22,1398.85,1393.7402853931103,1276.2525717497474
2018-01-23,1410.7,1405.6169860839836,1283.7187282017317
2018-01-24,1401.2,1416.1912382804917,1285.358761719509
2018-01-25,1416.5,1428.6407238037789,1287.4235619105073
2018-01-29,1431.95,1444.4331286270847,1285.016871372916
2018-01-30,1429.9,1456.1532146983864,1287.1753567301862
2018-01-31,1416.5,1461.123180472896,1295.4553909556766
2018-02-01,1455.6,1473.7174366566587,1301.7254204861993
2018-02-02,1415.45,1473.964621799323,1313.8068067721063
2018-02-05,1363.65,1468.984411761292,1324.1727310958518
2018-02-06,1353.05,1463.9617859902935,1333.0310711525642
2018-02-07,1333.75,1467.3816219381335,1326.8112352047244
2018-02-08,1347.4,1468.875914710988,1323.4026567175845
2018-02-09,1329.25,1473.3782889333331,1312.8717110666678
2018-02-12,1350.5,1472.9671087095485,1306.37574843331
2018-02-14,1361.2,1469.7878458836637,1302.4835826877659
2018-02-15,1350.35,1467.7388969355886,1297.268245921555
2018-02-16,1328.4,1463.6151427826762,1288.8062857887535
2018-02-19,1295.5,1457.45192163319,1275.4766497953824
2018-02-20,1290.6,1448.0838509350851,1264.9447204934868
2018-02-21,1282.8,1439.4677195679872,1254.4608518605849
2018-02-22,1292.0,1407.852032505937,1262.7051103512065
2018-02-23,1301.7,1385.0481502140476,1269.2589926430958
2018-02-26,1344.25,1380.755150879937,1270.7805634057777
2018-02-27,1338.1,1377.958469893389,1271.4415301066115
2018-02-28,1318.15,1376.68106289514,1270.4903656762892
2018-03-01,1315.2,1372.7003699121713,1269.8710586592576
2018-03-05,1300.7,1371.557296162515,1266.9355609803426
2018-03-06,1283.4,1366.724955926812,1262.1821869303317
2018-03-07,1263.3,1358.9816611620395,1255.9397674093898
2018-03-08,1283.8,1349.218727140282,1256.1955585740045
2018-03-09,1290.5,1344.4352770459898,1255.5647229540107
2018-03-12,1310.05,1345.7012154423326,1256.377355986239
2018-03-13,1302.75,1346.1656119665927,1257.6486737476935
2018-03-14,1303.25,1346.2379221361311,1260.4977921495838
2018-03-15,1295.1,1346.2378708395497,1260.9407005890223
2018-03-16,1269.3,1347.7131598721107,1254.8368401278894
2018-03-19,1279.55,1337.1685347476616,1256.1386081094813
2018-03-20,1293.5,1326.2130648284644,1260.7226494572503
2018-03-21,1309.35,1323.8346247825384,1261.8439466460331
2018-03-22,1296.25,1319.8150529396842,1263.1563756317444
2018-03-23,1267.9,1319.5393614242266,1258.7463528614876
2018-03-26,1297.4,1320.6464724933433,1259.639241792371
2018-03-27,1307.55,1320.8528968226756,1265.754246034467
2018-03-28,1310.9,1323.7051675480068,1266.773403880565
2018-04-02,1335.95,1334.094041500468,1262.877387070961
2018-04-03,1330.4,1339.0684835194947,1260.8100879090775
2018-04-04,1296.15,1338.6102128587445,1260.3255014269707
2018-04-05,1328.8,1343.4604505537457,1259.1252637319697
2018-04-06,1316.55,1345.57798909928,1260.072010900721
2018-04-09,1327.9,1347.0105446424993,1267.0108839289303
2018-04-10,1349.9,1354.7578834284907,1269.3135451429396
2018-04-11,1352.75,1362.6614012418615,1269.8743130438545
2018-04-12,1357.45,1370.778259789923,1268.6288830672218
2018-04-13,1354.85,1376.2723302196293,1271.506241208944
2018-04-16,1368.1,1377.5241728614244,1284.5686842814341
2018-04-17,1359.55,1379.9485151347521,1291.0229134366773
2018-04-18,1360.1,1382.3964792241625,1296.0820922044097
2018-04-19,1385.0,1390.7822756160922,1298.282010098194
2018-04-20,1365.05,1393.8053550924817,1299.4160734789473
